TRANSFER_ID,PAYER_ACCOUNT,PAYEE_ACCOUNT,CHANNEL,AMOUNT,CURRENCY,PAYER_COUNTRY,PAYEE_COUNTRY,BOOKED_DATE,BOOKED_AT
TX-000001,ACC-1139,ACC-1103,wire,170.74,EUR,FR,FR,2026-09-01,2026-09-01 14:43:15
TX-000002,ACC-1100,ACC-1110,card,178.90,EUR,PL,IT,2026-09-01,2026-09-01 14:04:02
TX-000003,ACC-1096,ACC-1024,wire,247.65,EUR,FR,ES,2026-09-01,2026-09-01 20:38:39
TX-000004,ACC-1049,ACC-1044,cash_deposit,77.94,EUR,PL,FR,2026-09-01,2026-09-01 02:48:05
TX-000005,ACC-1042,ACC-1116,card,163.99,EUR,ES,DE,2026-09-01,2026-09-01 07:48:51
TX-000006,ACC-1062,ACC-1123,crypto,179.69,EUR,PL,ES,2026-09-01,2026-09-01 08:52:57
TX-000007,ACC-1128,ACC-1007,card,557.47,EUR,ES,PL,2026-09-01,2026-09-01 14:15:29
TX-000008,ACC-1052,ACC-1138,cash_deposit,248.25,EUR,DE,IT,2026-09-01,2026-09-01 09:35:25
TX-000009,ACC-1140,ACC-1021,card,25.93,EUR,PL,PL,2026-09-01,2026-09-01 22:39:01
TX-000010,ACC-1011,ACC-1135,wire,73.18,EUR,NL,DE,2026-09-01,2026-09-01 00:53:21
TX-000011,ACC-1123,ACC-1120,wire,84.73,EUR,ES,FR,2026-09-01,2026-09-01 01:59:28
TX-000012,ACC-1115,ACC-1109,card,178.85,EUR,ES,PL,2026-09-01,2026-09-01 06:25:26
TX-000013,ACC-1058,ACC-1050,cash_deposit,188.14,EUR,NL,PL,2026-09-01,2026-09-01 02:13:48
TX-000014,ACC-1007,ACC-1016,card,71.17,EUR,PL,ES,2026-09-01,2026-09-01 03:34:08
TX-000015,ACC-1017,ACC-1142,cash_deposit,94.24,EUR,IT,DE,2026-09-01,2026-09-01 08:59:35
TX-000016,ACC-1080,ACC-1008,wire,287.58,EUR,NL,NL,2026-09-01,2026-09-01 12:02:52
