TRANSFER_ID,PAYER_ACCOUNT,PAYEE_ACCOUNT,CHANNEL,AMOUNT,CURRENCY,PAYER_COUNTRY,PAYEE_COUNTRY,BOOKED_DATE,BOOKED_AT
TX-001321,ACC-1024,ACC-1058,wire,534.83,EUR,ES,NL,2026-09-03,2026-09-03 21:52:24
TX-001322,ACC-1138,ACC-1099,card,898.55,EUR,IT,PL,2026-09-03,2026-09-03 08:12:42
TX-001323,ACC-1117,ACC-1095,card,217.99,EUR,IT,IT,2026-09-03,2026-09-03 17:34:14
TX-001324,ACC-1096,ACC-1049,wire,69.32,EUR,FR,PL,2026-09-03,2026-09-03 16:44:53
TX-001325,ACC-1002,ACC-1117,crypto,62.62,EUR,ES,IT,2026-09-03,2026-09-03 17:10:54
TX-001326,ACC-1087,ACC-1076,cash_deposit,257.03,EUR,PL,NL,2026-09-03,2026-09-03 07:00:08
TX-001327,ACC-1086,ACC-1036,cash_deposit,172.73,EUR,NL,ES,2026-09-03,2026-09-03 23:32:57
TX-001328,ACC-1139,ACC-1024,card,45.41,EUR,FR,ES,2026-09-03,2026-09-03 17:54:58
TX-001329,ACC-1002,ACC-1010,wire,829.11,EUR,ES,ES,2026-09-03,2026-09-03 23:45:55
TX-001330,ACC-1038,ACC-1100,card,269.84,EUR,NL,PL,2026-09-03,2026-09-03 03:42:10
TX-001331,ACC-1084,ACC-1065,wire,207.04,EUR,NL,FR,2026-09-03,2026-09-03 14:33:03
TX-001332,ACC-1145,ACC-1120,cash_deposit,77.75,EUR,FR,FR,2026-09-03,2026-09-03 23:45:51
TX-001333,ACC-1028,ACC-1132,wire,934.12,EUR,FR,FR,2026-09-03,2026-09-03 09:50:48
TX-001334,ACC-1141,ACC-1047,card,127.96,EUR,ES,IT,2026-09-03,2026-09-03 21:52:21
TX-001335,ACC-1122,ACC-1090,wire,14.12,EUR,IT,NL,2026-09-03,2026-09-03 15:30:20
TX-001336,ACC-1035,ACC-1132,wire,45.27,EUR,ES,FR,2026-09-03,2026-09-03 19:11:29
TX-001337,ACC-1147,ACC-1126,crypto,734.77,EUR,DE,DE,2026-09-03,2026-09-03 10:16:18
TX-001338,ACC-1006,ACC-1011,card,90.54,EUR,ES,NL,2026-09-03,2026-09-03 04:47:20
TX-001339,ACC-1039,ACC-1017,cash_deposit,84.08,EUR,FR,IT,2026-09-03,2026-09-03 12:02:14
TX-001340,ACC-1093,ACC-1067,card,172.94,EUR,NL,FR,2026-09-03,2026-09-03 08:39:04
TX-001341,ACC-1006,ACC-1078,card,128.42,EUR,ES,IT,2026-09-03,2026-09-03 20:05:27
TX-001342,ACC-1144,ACC-1069,wire,364.29,EUR,FR,IT,2026-09-03,2026-09-03 21:38:27
TX-001343,ACC-1049,ACC-1009,wire,290.97,EUR,PL,DE,2026-09-03,2026-09-03 04:31:30
TX-001344,ACC-1075,ACC-1138,wire,158.90,EUR,PL,IT,2026-09-03,2026-09-03 22:46:46
TX-001345,ACC-1123,ACC-1000,cash_deposit,698.76,EUR,ES,NL,2026-09-03,2026-09-03 08:30:10
TX-001346,ACC-1012,ACC-1111,card,86.09,EUR,NL,IT,2026-09-03,2026-09-03 08:08:05
TX-001347,ACC-1135,ACC-1095,card,123.15,EUR,DE,IT,2026-09-03,2026-09-03 06:41:05
TX-001348,ACC-1081,ACC-1125,card,85.92,EUR,NL,DE,2026-09-03,2026-09-03 13:15:04
TX-001349,ACC-1003,ACC-1038,wire,120.72,EUR,IT,NL,2026-09-03,2026-09-03 06:32:07
TX-001350,ACC-1082,ACC-1036,cash_deposit,126.16,EUR,IT,ES,2026-09-03,2026-09-03 04:35:29
TX-001351,ACC-1101,ACC-1137,card,95.98,EUR,PL,IT,2026-09-03,2026-09-03 10:25:56
TX-001352,ACC-1130,ACC-1121,card,85.92,EUR,PL,DE,2026-09-03,2026-09-03 03:42:27
TX-001353,ACC-1129,ACC-1043,wire,341.34,EUR,PL,IT,2026-09-03,2026-09-03 05:23:38
TX-001354,ACC-1065,ACC-1143,wire,356.83,EUR,FR,PL,2026-09-03,2026-09-03 23:23:42
