TAP_FILE_ID,SENDER_PLMN,SENDER_NAME,RECIPIENT_PLMN,RECIPIENT_NAME,EVENT_TYPE,IMSI,CHARGED_UNITS,CHARGE_SDR,TAX_SDR,EVENT_DATE,EVENT_AT,SETTLEMENT_STATUS
TAP-20260901-00001,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000005,33,14.3618,2.1543,2026-09-01,2026-09-01 21:40:08,ACCEPTED
TAP-20260901-00002,00119,Quartz Mobile,00103,Cinder Wireless,MOC,001030000000006,26,10.6293,1.5944,2026-09-01,2026-09-01 09:10:19,ACCEPTED
TAP-20260901-00003,00119,Quartz Mobile,00106,Fjord Telecom,MTC,001060000000008,40,6.8498,1.0275,2026-09-01,2026-09-01 00:02:40,ACCEPTED
TAP-20260901-00004,00107,Granite Mobile,00108,Harbor Wireless,MOC,001080000000013,28,12.4903,1.8735,2026-09-01,2026-09-01 00:16:22,ACCEPTED
TAP-20260901-00005,00111,Ivory Cellular,00101,Aurora Telecom,GPRS,001010000000002,8,0.0895,0.0134,2026-09-01,2026-09-01 18:25:30,ACCEPTED
TAP-20260901-00006,00113,Kestrel Telecom,00104,Delta Cell,GPRS,001040000000004,357,4.0146,0.6022,2026-09-01,2026-09-01 10:32:08,ACCEPTED
TAP-20260901-00007,00112,Juniper Mobile,00101,Aurora Telecom,GPRS,001010000000002,148,1.5254,0.2288,2026-09-01,2026-09-01 00:46:18,ACCEPTED
TAP-20260901-00008,00106,Fjord Telecom,00119,Quartz Mobile,MOC,001190000000014,28,12.6644,1.8997,2026-09-01,2026-09-01 22:17:43,ACCEPTED
TAP-20260901-00009,00111,Ivory Cellular,00102,Borealis Mobile,MTC,001020000000011,36,6.6296,0.9944,2026-09-01,2026-09-01 16:35:58,ACCEPTED
TAP-20260901-00010,00112,Juniper Mobile,00103,Cinder Wireless,GPRS,001030000000015,355,3.8667,0.5800,2026-09-01,2026-09-01 22:27:10,ACCEPTED
TAP-20260901-00011,00111,Ivory Cellular,00101,Aurora Telecom,MTC,001010000000009,32,6.0493,0.9074,2026-09-01,2026-09-01 11:50:52,ACCEPTED
TAP-20260901-00012,00113,Kestrel Telecom,00104,Delta Cell,SMS_MO,001040000000005,10,0.5747,0.0862,2026-09-01,2026-09-01 06:48:18,ACCEPTED
TAP-20260901-00013,00114,Lumen Wireless,00106,Fjord Telecom,MTC,001060000000009,36,6.7800,1.0170,2026-09-01,2026-09-01 14:01:20,ACCEPTED
