TAP_FILE_ID,SENDER_PLMN,SENDER_NAME,RECIPIENT_PLMN,RECIPIENT_NAME,EVENT_TYPE,IMSI,CHARGED_UNITS,CHARGE_SDR,TAX_SDR,EVENT_DATE,EVENT_AT,SETTLEMENT_STATUS
TAP-20260903-01244,00108,Harbor Wireless,00107,Granite Mobile,MTC,001070000000013,20,3.8663,0.5799,2026-09-03,2026-09-03 23:27:59,ACCEPTED
TAP-20260903-01245,00106,Fjord Telecom,00119,Quartz Mobile,MTC,001190000000006,23,4.2680,0.6402,2026-09-03,2026-09-03 16:42:02,ACCEPTED
TAP-20260903-01246,00107,Granite Mobile,00108,Harbor Wireless,MOC,001080000000015,10,4.1136,0.6170,2026-09-03,2026-09-03 02:13:18,ACCEPTED
TAP-20260903-01247,00107,Granite Mobile,00108,Harbor Wireless,GPRS,001080000000010,833,8.8792,1.3319,2026-09-03,2026-09-03 04:11:10,ACCEPTED
TAP-20260903-01248,00113,Kestrel Telecom,00104,Delta Cell,SMS_MO,001040000000006,5,0.3062,0.0459,2026-09-03,2026-09-03 23:10:49,ACCEPTED
TAP-20260903-01249,00104,Delta Cell,00113,Kestrel Telecom,MOC,001130000000010,31,13.6606,2.0491,2026-09-03,2026-09-03 13:21:11,ACCEPTED
TAP-20260903-01250,00114,Lumen Wireless,00104,Delta Cell,MOC,001040000000007,11,4.9039,0.7356,2026-09-03,2026-09-03 08:30:23,ACCEPTED
TAP-20260903-01251,00102,Borealis Mobile,00114,Lumen Wireless,MOC,001140000000014,18,7.8351,1.1753,2026-09-03,2026-09-03 08:02:25,ACCEPTED
TAP-20260903-01252,00111,Ivory Cellular,00102,Borealis Mobile,GPRS,001020000000012,747,8.4649,1.2697,2026-09-03,2026-09-03 19:05:33,ACCEPTED
TAP-20260903-01253,00108,Harbor Wireless,00107,Granite Mobile,GPRS,001070000000001,359,4.0481,0.6072,2026-09-03,2026-09-03 05:50:20,ACCEPTED
TAP-20260903-01254,00116,Northwind Mobile,00101,Aurora Telecom,MTC,001010000000004,2,0.3319,0.0498,2026-09-03,2026-09-03 04:17:23,ACCEPTED
